지역,병원명,주소,위도,경도
전북,김혜영소아과의원,Jeonju,35.7981407,127.1409741
전북,심현섭소아과의원,"16 Hwangnyong-ro, 특별자치도 Gunsan-si",35.9453141,126.6871977
전북,수송다나소아과,Gunsan,35.969969,126.714847
전북,우리소아과,"32-8 Sang-ri, Geumsan-eup, Geumsan-gun",36.1061654,127.4891827
전북,전주소아과,Jeonju,35.8351359,127.121225
전북,김태욱소아과,"495 Jigok-dong, Gunsan-si",35.9585862,126.7046227
전북,우리들소아청소년과의원,"1122 Muwang-ro, Iksan-si",35.9582673,126.981332
전북,현대소아과,"919-6 Suseong-dong, Jeongeup-si",35.5818839,126.8549791
전북,신소아과,"38 Donghak-ro, Samnye-eup, Wanju-gun",35.9110149,127.0748108
전북,봄빛소아과의원,"660-2 Samcheon-dong 1(il)-ga, Wansan-gu, Jeonju-si",35.7943074,127.1170876
전북,나은영소아과의원,"677-16 Busong-dong, Iksan-si",35.9623961,126.9849291
전북,이지영소아청소년과,Jeonju,35.8607556,127.1512693
전북,미즈아이산부인과의원,Gunsan,35.96510749999999,126.7027388
전북,정소아청소년과의원,"111 Seosin-ro, Wansan-gu, Jeonju-si",35.8352425,127.1156724
전북,우리소아청소년과의원,"Jeonju-si, Deokjin-gu, 오공로 47",35.8355499,127.1417709
전남,중앙소아과의원,"Gwangju, South Korea",35.1733783,126.9251494
전남,모아소아과의원,"633-8 Baegun-dong, Nam-gu",35.1339104,126.9033469
전남,사랑소아과의원,"43-8 Yeonje-dong, Buk-gu",35.1973468,126.8719316
전남,최사영소아과의원,"Gwangju, South Korea",35.1853213,126.9227327
전남,미래지앤디소아과의원,683-2 월곡2동 Gwangsan-gu,35.1757372,126.811549
전남,동천희망소아과,"Gwangju, South Korea",35.1704331,126.8601001
전남,화정키즈소아청소년과의원,"631-3 Hwajeong-dong, Seo-gu",35.1458701,126.8815508
전남,첨단소아청소년과의원,"756-5 Wolgye-dong, Gwangsan-gu",35.2202601,126.8364067
전남,큰별소아과청소년과의원,"1484 Suwan-dong, Gwangsan-gu",35.1877915,126.8233254
전남,박소아과의원,"1274-8 Yongbong-dong, Buk-gu",35.179433,126.9155946
전남,봉선드림소아청소년과,"Gwangju, South Korea",35.1239556,126.9078797
전남,예사랑소아과,"294-17 Jinwol-dong, Nam-gu",35.121717,126.899042
전남,목포한사랑병원,"335 Baengnyeon-daero, Mokpo-si",34.8057779,126.4236824
전남,위드유소아청소년과의원,"1059 Imbangul-daero, Buk-gu",35.2120491,126.8732019
전남,박영경소아과의원,"728-14 Hwajeong-dong, Seo-gu",35.1473529,126.8845984
전남,문대근소아과의원,"1269-4 Yeonsan-dong, Mokpo-si",34.8108291,126.382043
전남,우리아이소아청소년과,"Gwangju, South Korea",35.129917,126.9293502
전남,차소아청소년과의원,"240-8 Manyeon-ri, Hwasun-eup, Hwasun-gun",35.060615,126.9912849
전남,예쁜소아과의원,"Gwangju, South Korea",35.1624354,126.9372874
전남,안여현소아과의원,"1123-4 Pungam-dong, Seo-gu",35.1256054,126.8802104
경북,김상관소아과의원,Chilgok-gun,36.073769,128.3935142
경북,연합소아과의원,Pohang,36.0677049,129.3813933
경북,에이비씨김광우소아과의원,"1037-1 Duho-dong, Buk-gu, Pohang-si",36.0596502,129.3760607
경북,애플소아과의원,"637-3 Changpo-dong, Buk-gu, Pohang-si",36.0628164,129.3707
경북,Dr. Jeong's Pediatric Clinic,"168-13 Hyeonggok-dong, Gumi-si",36.1104857,128.3357131
경북,이은영와세다의원,"1001-5 Inui-dong, Gumi-si",36.0958194,128.4312819
경북,안재소아과의원,"200-2 Hwangsang-dong, Gumi-si",36.1171532,128.4256766
경북,믿음터의원,"678-6 Gupo-dong, Gumi-si",36.12887389999999,128.4161494
경북,장소아청소년과의원,Andong,36.5704095,128.6978878
경북,김해정더자람소아청소년과의원,"Andong-si, Ok-dong, Gwangmyeong-ro, 124 2층 201호",36.5594223,128.6987068
경북,드림소아청소년과의원,Gumi,36.1521626,128.3299776
경북,Suncheonhyang Pediatrician,"20 Bisan-ro 1-gil, Gumi-si",36.121374,128.374404
