요양기관명,시도코드명,시군구코드명,좌표(X),좌표(Y),주소,좌표(X)_round,좌표(Y)_round
고운맘소아청소년과의원,서울특별시,관악구,126.9201665,37.4604681,,126.9202,37.4605
고운맘소아청소년과의원,경기도,양주시,127.0921402,37.8189751,,127.0921,37.819
고운맘소아청소년과의원,세종시,세종시,127.2343732,36.5050816,,127.2344,36.5051
고운소아청소년과의원,세종시,세종시,127.2897062,36.477252,,127.2897,36.4773
고운소아청소년과의원,서울특별시,서초구,127.0098751,37.5071118,,127.0099,37.5071
고운아이소아청소년과의원,대구광역시,대구달서구,128.5095176,35.812963,,128.5095,35.813
고운아이소아청소년과의원,경상남도,진주시,128.0621959,35.1738927,,128.0622,35.1739
고은맘소아청소년과의원,경기도,수원팔달구,126.9806024,37.2858708,,126.9806,37.2859
고은맘소아청소년과의원,경기도,평택시,127.0988015,37.0098798,,127.0988,37.0099
고은빛소아청소년과의원,서울특별시,강동구,127.1391518,37.5343979,,127.1392,37.5344
고은소아과의원,충청북도,청주상당구,127.5139654,36.6198554,,127.514,36.6199
고은소아청소년과의원,서울특별시,노원구,127.071092,37.633158,,127.0711,37.6332
고은소아청소년과의원,경기도,의정부시,127.0597468,37.728992,,127.0597,37.729
고은소아청소년과의원,인천광역시,인천남동구,126.7208138,37.451961,,126.7208,37.452
고은소아청소년과의원,대전광역시,대전대덕구,127.4394319,36.3660504,,127.4394,36.3661
고은소아청소년과의원,대구광역시,대구수성구,128.6955905,35.8387543,,128.6956,35.8388
고은아이소아청소년과의원,충청남도,공주시,127.1528437,36.4758017,,127.1528,36.4758
고은연합소아청소년과의원,대구광역시,대구북구,128.5909473,35.8880586,,128.5909,35.8881
고잔연세소아청소년과의원,경기도,안산단원구,126.8310371,37.3119296,,126.831,37.3119
고잔우리들소아과의원,경기도,안산단원구,126.815212,37.3077677,,126.8152,37.3078
고잔제일소아과의원,경기도,안산단원구,126.8123402,37.302442,,126.8123,37.3024
고학준소아청소년과의원,부산광역시,부산진구,129.0311601,35.1594433,,129.0312,35.1594
고형기소아청소년과의원,경기도,성남분당구,127.1357911,37.414552,,127.1358,37.4146
곰돌이 소아청소년과의원,세종시,세종시,127.2499068,36.5031568,,127.2499,36.5032
곰돌이소아치과의원,광주광역시,광주남구,126.8755804,35.102112,,126.8756,35.1021
곰돌이연합소아청소년과의원,경상북도,경산시,128.7373615,35.8255842,,128.7374,35.8256
공선희소아청소년과의원,경기도,부천원미구,126.8132719,37.4866488,,126.8133,37.4866
과천365소아청소년과의원,경기도,과천시,126.9912685,37.4257851,,126.9913,37.4258
곽소아과의원,대구광역시,대구동구,128.6380191,35.8966923,,128.638,35.8967
곽소아청소년과의원,인천광역시,인천부평구,126.7263394,37.4915726,,126.7263,37.4916
관악소아치과의원,서울특별시,관악구,126.953182,37.482326,,126.9532,37.4823
관저참소아청소년과의원,대전광역시,대전서구,127.3352408,36.2986084,,127.3352,36.2986
광교연세소아청소년과의원,경기도,용인수지구,127.0681154,37.2968955,,127.0681,37.2969
광교이안소아청소년과의원,경기도,수원영통구,127.0501574,37.2927376,,127.0502,37.2927
광교호수구강내과소아치과의원,경기도,수원영통구,127.0602549,37.2874971,,127.0603,37.2875
광명 주니어 소아치과의원,경기도,광명시,126.8822104,37.4176904,,126.8822,37.4177
광안마린소아청소년과의원,부산광역시,부산수영구,129.1128045,35.1576639,,129.1128,35.1577
구구소아청소년과의원,경기도,양주시,127.0927954,37.8185483,,127.0928,37.8185
구로연세소아과의원,서울특별시,구로구,126.8619052,37.4969239,,126.8619,37.4969
구리함소아한의원,경기도,구리시,127.1427103,37.6020755,,127.1427,37.6021
구미연합소아청소년과의원,경상북도,구미시,128.313071,36.1397091,,128.3131,36.1397
